永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社
<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>
"團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,",日期：2023/12/20,日期：2023/12/20
線別,出發日,團體代碼,團名,產品名稱,同業價,直客價,總機位,保留,報名,可售,收訂,訂金,班機,進出點,狀態,員工備註
東歐,2023/12/27,VIE10CIF231227A,五星奧捷10天(CI)三晚五星,五星奧捷10天(CI)米其林、三晚五星、鹽礦、兩大湖區、Outlet、雙城堡皇宮、遊船饗宴,77900,83900,36,0,36,0,35,20000,CI063/CI064,VIE/VIE,截止可報名,"【PUSH,加人請拿名單訂FIT看票差】此價格10名後調漲3000"
東歐,2023/12/27,FRA12CIG231227A,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,94900,104900,20,20,0,0,0,20000,CI061/CI062,FRA/FRA,截止可報名,★此價格已為早鳥優惠價，僅限前10名
東歐,2023/12/27,FRA10CIX231227A,童話德奧捷10天(CI),童話德奧捷10天(CI)城堡.湖區.羅曼蒂克大道.米其林.OUTLET,71900,78900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,截止可報名,【PUSH】★此價格已為早鳥優惠價僅限前十名
東歐,2023/12/27,FRA12CIX231227A,童話德奧捷12天(CI),童話德奧捷12天(CI)城堡.羅曼蒂克大道.米其林.新天鵝堡.三大湖區,95900,105900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2023/12/27,VIE10CIC231227A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),75900,81900,20,20,0,0,0,20000,CI063/CI064,VIE/VIE,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2023/12/27,VIE10CIS231227A,雙享奧捷斯匈十天(CI),雙享奧捷斯匈~多瑙河遊船、米其林、哈斯達特湖區、城堡十天(CI),74900,80900,20,20,0,0,0,20000,CI063/CI064,VIE/VIE,截止可報名,
東歐,2023/12/30,PRG10CIF231230A,五星奧捷10天(CI)三晚五星,五星奧捷10天(CI)米其林、三晚五星、鹽礦、兩大湖區、Outlet、雙城堡皇宮、遊船饗宴,77900,83900,34,0,34,0,36,20000,CI067/CI068,PRG/PRG,截止可報名,"【PUSH,加人請拿名單訂FIT看票差】此價格10名後調漲3000"
東歐,2023/12/31,VIE10CIC231231A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/01,VIE13CIM240101A,愛在巴爾幹半島~五星克斯波蒙 13天(CI),愛在巴爾幹半島~五星克斯波蒙 雙國家公園、四晚五星、三大纜車、遊船、跳島精彩四國13天(CI),89900,99900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/01,VIE13CIT240101A,樂遊克斯波蒙13天(CI),樂遊克斯波蒙~十六湖國家公園、纜車、遊船、跳島精彩四國13天(CI),83900,93900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/01,VIE10CIS240101A,雙享奧捷斯匈十天(CI),雙享奧捷斯匈~多瑙河遊船、米其林、哈斯達特湖區、城堡十天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,截止可報名, 
東歐,2024/01/02,PRG12CIF240102A,愛在東歐~華麗奧捷12天(CI)(PRG進VIE出),愛在東歐~華麗奧捷12天(CI) 國王湖遊船、雙點進出、音樂會、鹽礦、米其林、6晚五星&湖區飯店,98900,108900,20,0,0,20,0,20000,CI067/CI064,PRG/VIE,截止可報名,"早鳥60天前報名付訂優惠5000元,30天前付訂優惠3000元。~每團早鳥僅限前10名額滿為止 ~"
東歐,2024/01/03,FRA12CIG240103A,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,截止可報名,★此價格已為早鳥優惠價，僅限前10名
東歐,2024/01/03,FRA10CIX240103A,童話德奧捷10天(CI),童話德奧捷10天(CI)城堡.湖區.羅曼蒂克大道.米其林.OUTLET,69900,76900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,截止可報名,【PUSH】★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/03,FRA12CIX240103A,童話德奧捷12天(CI),童話德奧捷12天(CI)城堡.羅曼蒂克大道.米其林.新天鵝堡.三大湖區,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/03,VIE10CIC240103A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,截止可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/05,FRA12CIX240105A,童話德奧捷12天(CI),童話德奧捷12天(CI)城堡.羅曼蒂克大道.米其林.新天鵝堡.三大湖區,89900,99900,20,20,0,0,0,20000,CI061/CI062,FRA/FRA,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/06,PRG10CIF240106A,五星奧捷10天(CI)三晚五星,五星奧捷10天(CI)米其林、三晚五星、鹽礦、兩大湖區、Outlet、雙城堡皇宮、遊船饗宴,74900,80900,20,20,0,0,0,20000,CI067/CI068,PRG/PRG,可報名,
東歐,2024/01/07,VIE10CIF240107A,五星奧捷10天(CI)三晚五星,五星奧捷10天(CI)米其林、三晚五星、鹽礦、兩大湖區、Outlet、雙城堡皇宮、遊船饗宴,74900,80900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,此價格10名後調漲3000
東歐,2024/01/07,VIE13CIS240107A,華麗小東歐十三天(CI)奧捷斯匈(VIE進出),華麗小東歐十三天(CI)奧捷斯匈、三晚五星、多瑙河遊船、雙城堡皇宮、國王湖區,84900,94900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,此價格已為早鳥優惠價，10名後調漲3000
東歐,2024/01/07,VIE12CIO240107A,超值小東歐十二天(CI)(VIE進PRG出),超值小東歐十二天(CI) 德奧捷斯匈、米其林、多瑙河遊船、雙城堡皇宮、國王湖區,82900,92900,20,0,0,20,0,20000,CI063/CI068,VIE/PRG,可報名,
東歐,2024/01/07,VIE10CIC240107A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/07,FRA11CIF240107A,愛在東歐~五星奧捷11天(CI),愛在東歐~五星奧捷11天(CI) 國王湖遊船、音樂會、鹽礦、米其林、6晚五星,92900,100900,20,0,0,20,0,20000,CI061/CI064,FRA/VIE,可報名,早鳥60天前報名付訂前十名優惠5000元；30天前付訂優惠3000元。
東歐,2024/01/07,VIE12CIF240107A,愛在東歐~華麗奧捷12天(CI),愛在東歐~華麗奧捷12天(CI)國王湖遊船、雙點進出、音樂會、鹽礦、哈斯達特天空步道、米其林、6晚五星&湖區飯店,98900,108900,20,0,0,20,0,20000,CI063/CI068,VIE/PRG,可報名,"早鳥60天前報名付訂優惠5000元,30天前付訂優惠3000元。~每團早鳥僅限前10名額滿為止 ~"
東歐,2024/01/08,MUC10BRX240108A,童話德奧捷10天(BR),童話德奧捷10天(BR)絕美兩大湖區、米其林、城堡、古堡大道,69900,75900,20,0,0,20,0,20000,BR071/BR072,MUC/MUC,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/08,VIE13CIM240108A,愛在巴爾幹半島~五星克斯波蒙 13天(CI),愛在巴爾幹半島~五星克斯波蒙 雙國家公園、四晚五星、三大纜車、遊船、跳島精彩四國13天(CI),89900,99900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/08,VIE13CIT240108A,樂遊克斯波蒙13天(CI),樂遊克斯波蒙~十六湖國家公園、纜車、遊船、跳島精彩四國13天(CI),83900,93900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/08,VIE10CIS240108A,雙享奧捷斯匈十天(CI),雙享奧捷斯匈~多瑙河遊船、米其林、哈斯達特湖區、城堡十天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名, 
東歐,2024/01/09,KRK11TKA240109A,波.波三小國11天,波蘭、波羅的海三小國 慢遊十一天,109900,119900,21,1,0,20,0,30000,TK025/TK024,KRK/TLL,可報名,
東歐,2024/01/09,PRG12CIF240109A,愛在東歐~華麗奧捷12天(CI)(PRG進VIE出),愛在東歐~華麗奧捷12天(CI) 國王湖遊船、雙點進出、音樂會、鹽礦、米其林、6晚五星&湖區飯店,98900,108900,20,0,0,20,0,20000,CI067/CI064,PRG/VIE,可報名,"早鳥60天前報名付訂優惠5000元,30天前付訂優惠3000元。~每團早鳥僅限前10名額滿為止 ~"
東歐,2024/01/09,PRG10CIZ240109A,漫遊捷克深度10天(CI),漫遊捷克深度10天～雙溫泉區、皮爾森酒廠、米其林、世界遺產古城、布拉格舊城漫遊,64900,69900,20,0,0,20,0,20000,CI067/CI068,PRG/PRG,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/10,VIE10CIC240110A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/10,VIE10CIS240110A,雙享奧捷斯匈十天(CI),雙享奧捷斯匈~多瑙河遊船、米其林、哈斯達特湖區、城堡十天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,
東歐,2024/01/11,FRA10CIX240111A,童話德奧捷10天(CI),童話德奧捷10天(CI)城堡.湖區.羅曼蒂克大道.米其林.OUTLET,69900,76900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,【PUSH】★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/11,FRA12CIX240111A,童話德奧捷12天(CI),童話德奧捷12天(CI)城堡.羅曼蒂克大道.米其林.新天鵝堡.三大湖區,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/14,VIE13CIS240114A,華麗小東歐十三天(CI)奧捷斯匈(VIE進出),華麗小東歐十三天(CI)奧捷斯匈、三晚五星、多瑙河遊船、雙城堡皇宮、國王湖區,84900,94900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,此價格已為早鳥優惠價，10名後調漲3000
東歐,2024/01/14,VIE12CIO240114A,超值小東歐十二天(CI)(VIE進PRG出),超值小東歐十二天(CI) 德奧捷斯匈、米其林、多瑙河遊船、雙城堡皇宮、國王湖區,82900,92900,20,0,0,20,0,20000,CI063/CI068,VIE/PRG,可報名,
東歐,2024/01/14,VIE10CIC240114A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/14,FRA11CIF240114A,愛在東歐~五星奧捷11天(CI),愛在東歐~五星奧捷11天(CI) 國王湖遊船、音樂會、鹽礦、米其林、6晚五星,92900,100900,20,0,0,20,0,20000,CI061/CI064,FRA/VIE,可報名,早鳥60天前報名付訂前十名優惠5000元；30天前付訂優惠3000元。
東歐,2024/01/14,VIE10CIS240114A,雙享奧捷斯匈十天(CI),雙享奧捷斯匈~多瑙河遊船、米其林、哈斯達特湖區、城堡十天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,
東歐,2024/01/15,MUC10BRX240115A,童話德奧捷10天(BR),童話德奧捷10天(BR)絕美兩大湖區、米其林、城堡、古堡大道,69900,75900,20,0,0,20,0,20000,BR071/BR072,MUC/MUC,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/15,PRG12EKO240115A,超值小東歐十二天(EK)(PRG進BUD出),超值小東歐十二天(EK) 奧捷斯匈、米其林、多瑙河遊船、雙城堡皇宮、國王湖區,72900,82900,20,0,0,20,0,20000,EK367/EK366,PRG/BUD,可報名,早鳥優惠~12/31前報名付訂前10名貴賓優惠3000元
東歐,2024/01/15,VIE13CIM240115A,愛在巴爾幹半島~五星克斯波蒙 13天(CI),愛在巴爾幹半島~五星克斯波蒙 雙國家公園、四晚五星、三大纜車、遊船、跳島精彩四國13天(CI),89900,99900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/15,VIE13CIT240115A,樂遊克斯波蒙13天(CI),樂遊克斯波蒙~十六湖國家公園、纜車、遊船、跳島精彩四國13天(CI),83900,93900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
